[2022-05-07 08:34:55,757: INFO/MainProcess] beat: Starting...
[2022-05-07 08:34:56,191: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 2.0 seconds...
[2022-05-07 08:34:58,194: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 4.0 seconds...
[2022-05-07 08:38:21,760: INFO/MainProcess] beat: Starting...
[2022-05-07 08:38:48,181: INFO/MainProcess] beat: Starting...
[2022-05-13 12:45:30,019: INFO/MainProcess] beat: Starting...
[2022-05-13 12:45:30,445: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 2.0 seconds...
[2022-05-13 12:45:32,448: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 4.0 seconds...
[2022-05-13 12:45:36,454: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 6.0 seconds...
[2022-05-13 12:45:42,460: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 8.0 seconds...
[2022-05-13 12:45:50,470: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 10.0 seconds...
[2022-05-13 12:46:00,480: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 12.0 seconds...
[2022-05-13 12:46:12,491: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 14.0 seconds...
[2022-05-13 12:46:26,504: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 16.0 seconds...
[2022-05-13 12:46:42,518: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 18.0 seconds...
[2022-05-13 12:47:00,534: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 20.0 seconds...
[2022-05-13 12:47:20,550: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 22.0 seconds...
[2022-05-13 12:47:42,570: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 24.0 seconds...
[2022-05-13 12:48:06,589: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 26.0 seconds...
[2022-05-13 12:48:32,609: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 28.0 seconds...
[2022-05-13 12:49:00,632: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 30.0 seconds...
[2022-05-13 12:49:30,658: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:50:02,686: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:50:34,714: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:51:06,742: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:51:38,772: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:52:10,801: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:52:42,827: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:53:14,857: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:53:46,884: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:54:18,910: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:54:50,940: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:55:22,969: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:55:54,996: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:56:27,019: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:56:59,044: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-13 12:57:31,072: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 32.0 seconds...
[2022-05-16 16:24:16,847: INFO/MainProcess] beat: Starting...
[2022-05-16 16:24:16,927: ERROR/MainProcess] beat: Connection error: Error 111 connecting to localhost:6379. Connection refused.. Trying again in 2.0 seconds...
